ID	Label	Text
6676	Hypothetical	"North Atlantic hurricanes are a major driver of property losses in the United States and a critical peril for the reinsurance industry globally. We leverage insurance loss data and stochastic modeling to investigate the impacts of projected changes in hurricane climatology on the insurance industry, for +2 °C and +4 °C warming scenarios. We find that, relative to the historical baseline 1950-2022, expected changes in wind speed and rainfall may increase hurricane losses by 5% _15% (+2 °C) and 10% _ 30% (+4 °C), with greater impacts at lower return periods than in the tail. The historical 100-year loss event may therefore be exceeded on average every 80 years (+2 °C) and 70 years (+4 °C). The expected changes in average annual loss are projected to be 10% (+2 °C) and 15% (+4 °C), with the largest relative increase attributable to precipitation-induced losses. Under the extreme SSP5-8.5 scenario, the expected loss inflation due to climate change is thus on the order of 0.5% per annum."
8573	Definitive	"Understanding the mortality effects of the most extreme heat events is central to climate change risk analysis and adaptation decision-making. Accurate representation of these impacts requires accounting for the effects of prolonged sequences of hot days on mortality, the change in that mortality due to anthropogenic forcing, and the potential compensating effects of adaptation to heat. Here, we revisit the August 2003 heat wave in France, a canonical event in a region with rich climate and mortality data, to understand these influences. We find that standard heat mortality exposure-response functions underpredict excess deaths in August 2003 by 60%, but that accounting for the temporally compounding effects of hot days better matches observed mortality. After accounting for compounding effects and applying a machine learning approach to single-event climate attribution, we attribute 6,038 deaths in August 2003 to climate change, ten times higher than previous estimates. Finally, we show that recent adaptation to heat has reduced the projected death tolls of future 2003-like events by more than 80%."
1437	Evidential	"Monitoring global land cover changes is important because of concerns about their impact on environment and climate. The release by the European Space Agency (ESA) of a set of worldwide annual land cover maps covering the 1992‚Äì2015 period makes possible a quantitative assessment of land change on the global scale. While ESA land cover mapping effort was motivated by the need to better characterize global and regional carbon cycles, the dataset may benefit a broad range of disciplines. To facilitate utilization of ESA maps for broad-scale problems in landscape ecology and environmental studies, we have constructed a GIS-based vector database of mesoscale landscapes ‚Äì patterns of land cover categories in 9km √ó 9km tracts of land. First, we reprojected ESA maps to the Fuller projection to assure that each landscape in the database has approximately the same size and shape so the patterns of landscapes at different locations can be compared.  Second, we calculated landscape attributes including its compositions in 1992 and 2015, magnitude of pattern change, categories transition matrix for detailed characterization of change, fractional abundances of plant functional types (PFTs) in 1992 and 2015, and change trend type ‚Äì a simple, overall descriptor of the character of landscape change. Combining change trends and change magnitude information we constructed a global, thematic map of land change; this map offers a visualization of what, where, and to what degree has changed between 1992 and 2015. The database is SQL searchable and supports all GIS vector operations.  Using change magnitude attribute we calculated that only 22% of total landmass experienced significant landscape change during the 1992-2015 period, but that change zone accounted for 80% of all pixel-based transitions. Dominant land cover transitions were forest ‚Üí agriculture followed by agriculture ‚Üí forest. Using PFTs attributes to calculate global aggregation of gross and net changes for major PFTs yielded results in agreement with other recent estimates."
5139	Hypothetical	"Smallholder agriculture has historically dominated Ethiopia's agricultural production. To boost crop output and productivity, agrochemicals and agricultural equipment have proven indispensable. However, climatic information has received minimal consideration from agricultural interventions in food production and health development programmes. The heterogeneous qualities of smallholder farmers were likewise ignored by conventional agricultural extension services. The objective of this study is to assess the susceptibility of different groups of smallholders in the moist stress zones of Boricha and Bilate Zuria Woreda, Sidama National Regional State, to food and health risks associated with climate variability. To acquire data, a qualitative research design employing focus group discussions and interviews with key informants was utilised. The data indicate that climate variability affects the vulnerability of smallholder farmers differently. Climate information on spring rainfall (January to April) becomes a window period affecting food and nutrition and the health state of smallholder farmer categories. Rich and middle-class farmers were better able to obtain climate information from radio and television than the poor and women smallholders in order to lessen their climate susceptibility. In addition, the data indicate that women and the poor were disadvantaged in their ability to participate in communities where climate-related knowledge was shared due to their lack of economic resources and cultural factors. In the study areas, women and the impoverished are predisposed to health epidemics due to climate change, including scabies, marasmus, kawashiorkor, typhoid, typhus, and malaria. Establishing pro-poor and gender-responsive delivery of climate information services at the home level should be incorporated into agricultural and health extension programmes to improve food, nutrition, and health in moisture-stressed rural communities."
5101	Evidential	"Glacier models contribute significantly to the uncertainty of glacier change projections. In this study, we focus on temperature-index mass-balance (MB) models and their calibration, exploring the impact of various design choices on projections. Using the Open Global Glacier Model (OGGM), we compare the effects of different surface-type dependent degree-day factors, temporal climate resolutions (daily, monthly) and downscaling strategies (temperature lapse rates, temperature and precipitation correction) on projections for 88 glaciers with in-situ observations. Our analysis shows that higher spatial and temporal resolution MB observations lead to more accurate MB gradient representations thanks to an improved calibration. Some choices have systematic effects. For example, weaker temperature lapse rates result in smaller glaciers in a warmer climate. However, we often find nonlinear effects, such as with the sensitivity to different degree-day factors for snow, firn, and ice, which depends on how the glacier accumulation area ratio changes in the future. Similarly, using daily versus monthly climate data can have opposite effects on different glaciers. Our study highlights the importance of considering minor model design differences to predict future glacier volumes and runoff accurately. However, the lack of independent observations limits our ability to evaluate the added value of additional model complexity."
2447	Evidential	"Climate models are essential tools for investigating intrinsic North Atlantic variability related to variations in the Atlantic meridional overturning circulation (AMOC), but recent observations have called into question the fidelity of models that emphasize the importance of Labrador Sea processes. A multi-century pre-industrial climate simulation that resolves ocean mesoscale eddies has a realistic representation of key observed subpolar Atlantic phenomena, including the dominance of density-space overturning in the eastern subpolar gyre, and thus provides uniquely credible context for interpreting short observational records. Despite weak mean surface diapycnal transformation in the Labrador Sea, multidecadal AMOC variability can be traced to anomalous production of dense Labrador Sea Water with local buoyancy forcing in the interior Labrador Sea playing a significant driving role."
5647	Evidential	"In high-mountain landscapes, biological resources such as organic carbon (OC) are often limited and heterogeneously stored in poorly developed soils, snow, ground ice and glaciers. Climate change influences the dynamics of OC mobilization to- and processing into- the recipient streams. These patterns can vary from seasonal (e.g., snow melt in spring) to daily (e.g., ice melt in summer) depending on the location of the streams within the catchment. Capturing the temporal richness of stream biogeochemical signals is now a reality with the advent of high-resolution sensors. In this study, we used wavelet analysis on high-frequency discharge (Q) and dissolved organic carbon (DOC) measurements from nine streams in the Swiss Alps to investigate whether synchrony (S) of Q (SQ) and DOC (SDOC) persisted or collapsed among streams, and its response to the spatial position, climate, and land cover gradients across different time scales. Our findings reveal that short-term (0-10 days) SQ and SDOC were strongly influenced by distance between streams and network connectivity. In contrast, catchment-related properties (i.e., altitude or land cover) were more important in driving SQ and SDOC dynamics at longer time scales (>50 days). However, the degree to which local catchment properties controlled S patterns at the longest timescales depended both on the response variable (i.e., Q vs. DOC) as well on the main land cover (i.e., vegetation vs. glacier). Elucidating the most prominent timescales of SDOC is relevant given the hydrological alterations projected for high-mountain regions. We show that glaciers impose a unique seasonal regime on DOC concentration, potentially overriding the effects of other local hydrological or biogeochemical processes during downstream transport. Consequently, SDOC dynamics in high-mountain streams may change as glaciers shrink, thereby altering downstream opportunities for biogeochemical transformations."
6767	Exploratory	"Weather and climate modeling, reliant on substantial computational resources, faces challenges of escalating resource demands and energy consumption as problem sizes and model complexity increase. Leveraging Graphics Processing Units (GPUs) for accelerated simulations demands performance portability across diverse High Performance Computing (HPC) architectures. The concept of embedded Domain Specific Language (eDSL) emerges as a lightweight solution, aiming to streamline GPU utilization without extensive code rewrites and to enhance code portability across HPC architectures. This study explores the practical implementation of an eDSL within the Icosahedral Nonhydrostatic (ICON) weather and climate model, primarily written in Fortran. Our evaluation contrasts eDSL utilization within ICON against other Earth system models, with particular emphasis on three-dimensional mass transport, or advection. Through assessing the eDSL's efficectiveness in various models, especially its application in the ParFlow and EULAG models, insights into its potential for ICON emerge. While the eDSL presents a promising avenue for performance portability, challenges in adapting Fortran-based codes, GPU support, and resource allocation underscore the need for necessity for thorough planning and resource allocation in model development endeavors. Overall, the eDSL offers a viable pathway for harnessing GPU acceleration while mitigating the complexities of code portability across diverse HPC architectures, essential for advancing weather and climate modeling capabilities."
1255	Exploratory	"It is shown that the large-scale climate dynamics, represented by the daily indices of the North Atlantic (NAO), Pacific/North American (PNA), Arctic (AO) and Antarctic (AAO) oscillations, Asian-Australian Monsoons (ISM, WNPM and AUSM) and El Nino/La Nina phenomenon (Nino indices) as well as global temperature anomalies (land), is dominated by the Hamiltonian distributed chaos with the stretched exponential spectrum. The predictability problem (predictability horizon properties) has been also discussed in this context."
7095	Exploratory	"In recent years, the scientific community focused on snow dynamics has witnessed a surge in efforts aimed at enhancing Snow Water Equivalent (SWE) monitoring capabilities, largely propelled by the incorporation of Machine Learning (ML) techniques. This comprehensive review delves into the current state of research within this evolving domain, shedding light on the indispensable role of precise SWE predictions in bolstering water resource management strategies and fostering environmental resilience amidst the backdrop of climate variability. By critically examining existing literature, this review underscores the imperative nature of ML-based methodologies in overcoming the inherent limitations of traditional monitoring paradigms. Highlighting the adaptability and promise of various ML algorithms, this paper serves as a cornerstone resource for researchers, practitioners, and policymakers dedicated to advancing SWE estimation practices and, consequently, promoting sustainable water resource management in snow-dominated regions."
6863	Exploratory	"Climate change triggers a wide range of hydrometeorological, glaciological and geophysical processes that span across vast spatiotemporal scales. With the advances in technology and analytics, a multitude of remote sensing, geodetic and in situ instruments have been developed to effectively monitor and help comprehend the Earth's system including its climate variability and the recent anomalies associated with global warming. A huge volume of data is generated by recording these observations, resulting in the need for novel methods to handle and interpret such Big Datasets. Managing this enormous amount of data extends beyond current computer storage considerations; it also encompasses the complexities of processing, modeling, and analysing. Big Datasets present unique characteristics that set them apart from smaller datasets, thereby posing challenges to traditional approaches. Moreover, computational time plays a crucial role, especially in the context of geohazard warning and response systems which   necessitate low latency requirements. In this review, we delve into the monitoring and analysis of various climate change-related phenomena, including, but not limited to, droughts, floods, cyclones-induced storm surges, urban heat islands, ice mass balance, sea-level rise, and the modelling of the influence of solar variability on the Earth’s climate. By examining these phenomena, we explore some of the current and future trends in Big Data, aiming to encourage and speed-up the development of such techniques and promoting their benefits to timely monitor and towards achieving climate sustainability, thereby addressing its threat to humanity."
6075	Evidential	"Developed barrier systems (barrier islands and spits) are lowering and narrowing with sea-level rise (SLR) such that habitation will eventually become infeasible or prohibitively expensive in its current form. Before reaching this state, communities and other entities will make choices, in the face of changing climate conditions, to modify the natural and built environment to reduce relatively short-term risk. These choices will likely vary substantially even along the same developed barrier system as these landscapes are rarely uniformly managed alongshore. Building on the results from a companion paper, here we use a new modeling framework to investigate the complexities in barrier system dynamics that emerge as a function of alongshore variability in management strategies, accelerations in SLR, and changes in storm intensity and frequency. Model results suggest that when connected through alongshore sediment transport, barriers with alongshore variable management strategies ‚Äì here, the construction of dunes and wide beaches to protect either roadways or communities ‚Äì evolve differently than they would in the absence of alongshore connections. Shoreline stabilization by communities in one location influences neighboring areas managed solely for roadways, inducing long-term system-wide lags in shoreline retreat, even decades after nourishment ceases. Conversely, when barrier segments managed for roadways are allowed to overwash, this induces shoreline curvature system-wide, thus enhancing erosion on nearby stabilized segments. Feedbacks between dunes, storms, overwash flux, and alongshore sediment transport also affect the long-term outcome of climate adaptation measures. In the case of partial, early abandonment of roadway management (i.e., decades before the road is deemed untenable), we find that system-wide transitions to less vulnerable landscape states are possible, even under accelerated SLR and increased storminess."
4573	Hypothetical	"To quantitatively understand the ecological resilience of an ecosystem with specialized habitats, we focused on deep-sea microbial communities and simulated the response of diverse microbes in specialized habitats to a pulse ecosystem disturbance - the Deepwater Horizon Oil Spill in the Gulf of Mexico. Two microbial communities with equivalent metabolic libraries were acclimated to the presence (‚Äúseep-adapted community‚Äù) or absence (‚Äúna√Øve community‚Äù) of natural seeps, then their metabolic and ecological responses following the disturbance were compared on both individual and community scales. Higher variability in functional metabolisms in the na√Øve community without selection pressure created less predictable response to the disturbance. Although spatially and temporally varying degradation rates resulted from the individual complexity of simulated degraders and their interactions with overall community, seep-adapted communities were more efficient in utilizing substrate when spatially averaged. Seep-adapted communities also had more heterogeneous diversity patterns across space and time and presented lower resistance and higher resilience in returning to baseline conditions following the disturbance. The model suggests that communities exposed to transient pulse disturbance or exchanging species with specialized habitats under selection for the disturbance may have greater sustainability in response to disturbance."
7398	Evidential	"Accurate estimates of carbon recycling efficiency at subduction zones are crucial for understanding the long-term evolution of the planet’s climate. Estimating subducting carbon recycling efficiency is difficult, however, due to magmatic degassing deep within the crust. Stable strontium (_88Sr) isotopes have the potential to serve as an additional proxy for carbonate recycling due to carbonate’s high Sr concentrations and unique _88Sr composition. New data from Nicaraguan lavas and sediments verify that Sr can indeed be used to track subducting carbon. When interpreted in conjunction with other magmatic trace element abundances, these data reveal systematic variations that are best understood as the effects of seamount subduction. Seamounts erupting at the same time carbonate-dominated sedimentation ceased on the Cocos plate could potentially ‘cap’ the carbonate layer and control the degree to which carbonate material is transported to the arc. This model can also be used to quantify the flux of carbonate sediment from the slab to the arc and thus provides an independent method to estimate the magmatic carbon recycling efficiency for the Nicaraguan Arc. Our model shows, absent seamounts, 26% to 52% of carbon from subducted carbonate is returned to the arc, an estimate consistent with recent estimates made from volcanic gases."
2521	Exploratory	"We conduct extended versions of the ISMIP6 future climate experiments for the Greenland ice sheet until the year 3000 with the model SICOPOLIS. Beyond 2100, the climate forcing is kept fixed at late-21st-century conditions. For the unabated warming pathway RCP8.5/SSP5-8.5, the ice sheet suffers a severe mass loss, which amounts to ~ 1.8 m SLE (sea-level equivalent) for the twelve-experiment mean, and ~ 3.5 m SLE (~ 50% of the entire mass) for the most sensitive experiment. For the reduced emissions pathway RCP2.6/SSP1-2.6, the mass loss is limited to a two-experiment mean of ~ 0.28 m SLE. Climate-change mitigation during the next decades will therefore be an efficient means for limiting the contribution of the Greenland ice sheet to sea-level rise in the long term."
6686	Evidential	"Quantifying Quaternary sea-level changes and hydroclimatic conditions is an important challenge given their intricate relation with paleo-climate, ice-sheets and geodynamics. The world’s coastlines provide an enormous geomorphologic archive, from which forward landscape evolution modelling studies have shown their potential to unravel paleo sea-levels, albeit at the cost of assumptions to the genesis of these landforms. We take a next step, by applying a Bayesian approach to jointly invert the geometries of multiple coastal terrace sequences to paleo sea- and lake level variations and extract past hydroclimatic conditions. Using a Markov chain Monte Carlo sampling method, we first test our approach on synthetic marine terrace profiles as proof of concept and benchmark our model on an observed marine terrace sequence in Santa Cruz (US). We successfully reproduce observed sequence morphologies and simultaneously obtain probabilistic estimates for past sea-level variations, as well as for other model parameters such as uplift and erosion rates. When applied to the semi-isolated Gulf of Corinth (Greece), our method allows deciphering the geomorphic Rosetta stone at an unprecedented resolution, revealing the connectivity between the Lake/Gulf of Corinth and the open sea for different hydroclimatic conditions. Eustatic sea-level and changing sill depths drive marine and transitional phases during interglacial and interstadial periods, whereas wetter and drier hydroclimates respectively over- and under-fill Lake Corinth during interstadial and glacial periods."
7163	Definitive	"With rapid urbanization and the increasing threats of climate change, metropolitan cities like Karachi, Pakistan, are encountering greater challenges due to the Urban Heat Island (UHI) phenomenon. Understanding the cooling potential of urban green spaces (UGS) is crucial for mitigating heat stress and enhancing urban resilience. This study aims to analyze the thermal dynamics and cooling efficacy of UGS within Karachi's dense urban centre through a comprehensive analysis of UHI intensity and the delineation of thermal hot and cool spots in relation to the city's landscape. The analysis reveals a strong positive correlation between the cooling intensity of parks and their buffer distance in all four UGS studied (Karachi golf club, Clifton urban forest, UoK green space, and Safari park), with an average cooling distance of 250 meters. It was found that Karachi West and Malir districts displayed the strongest UHI effects and higher levels of thermal discomfort. Hotspot analysis further confirmed this relationship, revealing a prevalence of cold spots near coastal areas and hotspots in districts lacking green spaces. The study highlights the significance of giving priority to the development and preservation of green spaces, especially in identified hotspots, to enhance the livability of Karachi and create a cooler environment."
7036	Evidential	"This paper takes a multi-perspective approach to understand drivers and barriers of climate action on the neighbourhood level in a selection of European neighbourhoods. The starting point for the analysis is the assumption that actions on the level of citizens to protect the climate are most motivating and promising, when conducted jointly within established social systems like neighbourhoods. The aim of this paper therefore is to identify most relevant factors that are associated with climate actions of individuals on the neighbourhood level. To do so, the paper outlines the multiple perspectives chosen for the analysis of drivers and barriers on the individual, collective, cultural, and socio-structural level. Based on this, a survey was designed to measure these aspects and implemented in nine European neighbourhoods (3 in Austria, 2 in Norway, 2 in Italy, 2 in Finland). The neighbourhoods were partly in rural communities (4) and partly in urban or semi-urban areas (5). In total, 1.084 answers were retained between summer 2022 and summer 2023. The impact of factors from the different perspectives on the self-reported number of implemented climate actions were tested in a structured, regression-based approach. The analyses show that intentions to act both on the individual and collective level impact the number of climate actions implemented by citizens living in the neighbourhood, but individual intentions are more important. In addition, local cultural aspects have an impact on climate action. Individual intentions to act are slightly less important in rural, than in semi/urban neighbourhoods. On the socio-structural level, males and households with younger children report fewer climate actions, whereas larger households in general and people with university degree report more. Intentions to act individually are mostly determined by perceived individual efficacy and attitudes, but also selected cultural and socio-structural factors. Collective intentions to act depend on the social capital in the neighbourhood and social norms, as well as selected socio-structural and cultural factors. Concluding, this paper emphasises that in order to understand, implement (and increase) the climate-related actions of citizens efficient, the individual, collective, cultural and socio-structural factors must be taken into account and that the level of neighbourhoods, where everyday action takes place, is a relevant unit of analysis to do so."
